,PDB code,EC number,Class,Subclass,Subsubclass
652,1i32,E.C.1.2.1.12,1,2,1
653,1i33,E.C.1.2.1.12,1,2,1
687,1ihy,E.C.1.2.1.12,1,2,1
793,1k3t,E.C.1.2.1.12,1,2,1
2455,2gz2,E.C.1.2.1.11,1,2,1
3166,2vle,E.C.1.2.1.3,1,2,1
5373,3pwk,E.C.1.2.1.11,1,2,1
5758,3sz9,E.C.1.2.1.3,1,2,1
5759,3szb,E.C.1.2.1.5,1,2,1
7545,4kwf,E.C.1.2.1.3,1,2,1
7546,4kwg,E.C.1.2.1.3,1,2,1
7620,4lh2,E.C.1.2.1.88,1,2,1
7621,4lh3,E.C.1.2.1.88,1,2,1
8337,4r3w,E.C.1.2.1.11,1,2,1
8696,4wp7,E.C.1.2.1.36,1,2,1
8698,4wpn,E.C.1.2.1.36,1,2,1
8734,4x0u,E.C.1.2.1.31,1,2,1
